Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,2.4072497080051107,1,2000,none,3,1.0,[[0 0]],13,True,27,uniform,0,20.784609690826528
False,,3.0245116669975687,1,2000,none,3,1.0,[[0 0]],1,True,32,uniform,0,22.627416997969522
False,,2.8859451669995906,1,2000,none,3,1.0,[[0 0]],3,True,32,uniform,0,22.627416997969522
False,,2.826704499995685,1,2000,none,3,1.0,[[0 0]],5,True,32,uniform,0,22.627416997969522
False,,2.7971546670014504,1,2000,none,3,1.0,[[0 0]],7,True,32,uniform,0,22.627416997969522
False,,2.81207508299849,1,2000,none,3,1.0,[[0 0]],9,True,32,uniform,0,22.627416997969522
False,,2.821854000008898,1,2000,none,3,1.0,[[0 0]],11,True,32,uniform,0,22.627416997969522
False,,2.824053999996977,1,2000,none,3,1.0,[[0 0]],13,True,32,uniform,0,22.627416997969522
False,,2.793429292010842,1,2000,none,3,1.0,[[0 0]],15,True,32,uniform,0,22.627416997969522
False,,3.3209980000101496,1,2000,none,3,1.0,[[0 0]],1,True,37,uniform,0,24.331050121192877
False,,3.284686375001911,1,2000,none,3,1.0,[[0 0]],3,True,37,uniform,0,24.331050121192877
False,,3.2814070419990458,1,2000,none,3,1.0,[[0 0]],5,True,37,uniform,0,24.331050121192877
False,,3.2931898749957327,1,2000,none,3,1.0,[[0 0]],7,True,37,uniform,0,24.331050121192877
False,,3.2784167080098996,1,2000,none,3,1.0,[[0 0]],9,True,37,uniform,0,24.331050121192877
False,,3.279367542010732,1,2000,none,3,1.0,[[0 0]],11,True,37,uniform,0,24.331050121192877
False,,3.296370084004593,1,2000,none,3,1.0,[[0 0]],13,True,37,uniform,0,24.331050121192877
False,,3.282118375005666,1,2000,none,3,1.0,[[0 0]],15,True,37,uniform,0,24.331050121192877
False,,3.262775832990883,1,2000,none,3,1.0,[[0 0]],17,True,37,uniform,0,24.331050121192877
False,,3.2600691669940716,1,2000,none,3,1.0,[[0 0]],19,True,37,uniform,0,24.331050121192877
False,,3.703984665989992,1,2000,none,3,1.0,[[0 0]],1,True,42,uniform,0,25.92296279363144
False,,3.648495583998738,1,2000,none,3,1.0,[[0 0]],3,True,42,uniform,0,25.92296279363144
False,,3.675443500003894,1,2000,none,3,1.0,[[0 0]],5,True,42,uniform,0,25.92296279363144
False,,3.839658083001268,1,2000,none,3,1.0,[[0 0]],7,True,42,uniform,0,25.92296279363144
False,,3.631425333005609,1,2000,none,3,1.0,[[0 0]],9,True,42,uniform,0,25.92296279363144
False,,3.610083207997377,1,2000,none,3,1.0,[[0 0]],11,True,42,uniform,0,25.92296279363144
False,,3.6197065000014845,1,2000,none,3,1.0,[[0 0]],13,True,42,uniform,0,25.92296279363144
False,,3.581331958004739,1,2000,none,3,1.0,[[0 0]],15,True,42,uniform,0,25.92296279363144
False,,3.609952458005864,1,2000,none,3,1.0,[[0 0]],17,True,42,uniform,0,25.92296279363144
False,,3.585411167005077,1,2000,none,3,1.0,[[0 0]],19,True,42,uniform,0,25.92296279363144
False,,3.5905367090017535,1,2000,none,3,1.0,[[0 0]],21,True,42,uniform,0,25.92296279363144
False,,4.179477167010191,1,2000,none,3,1.0,[[0 0]],1,True,47,uniform,0,27.422618401604176
False,,4.107444208988454,1,2000,none,3,1.0,[[0 0]],3,True,47,uniform,0,27.422618401604176
False,,4.062437708998914,1,2000,none,3,1.0,[[0 0]],5,True,47,uniform,0,27.422618401604176
False,,4.050217916999827,1,2000,none,3,1.0,[[0 0]],7,True,47,uniform,0,27.422618401604176
False,,4.053121000004467,1,2000,none,3,1.0,[[0 0]],9,True,47,uniform,0,27.422618401604176
False,,4.047189750010148,1,2000,none,3,1.0,[[0 0]],11,True,47,uniform,0,27.422618401604176
False,,4.046997625002405,1,2000,none,3,1.0,[[0 0]],13,True,47,uniform,0,27.422618401604176
False,,4.0702474170102505,1,2000,none,3,1.0,[[0 0]],15,True,47,uniform,0,27.422618401604176
False,,4.0816611670015845,1,2000,none,3,1.0,[[0 0]],17,True,47,uniform,0,27.422618401604176
False,,4.035897708003176,1,2000,none,3,1.0,[[0 0]],19,True,47,uniform,0,27.422618401604176
False,,4.024797624995699,1,2000,none,3,1.0,[[0 0]],21,True,47,uniform,0,27.422618401604176
False,,4.009085249999771,1,2000,none,3,1.0,[[0 0]],23,True,47,uniform,0,27.422618401604176
False,,4.687479083004291,1,2000,none,3,1.0,[[0 0]],1,True,52,uniform,0,28.844410203711913
False,,4.582745499996236,1,2000,none,3,1.0,[[0 0]],3,True,52,uniform,0,28.844410203711913
False,,4.460983416996896,1,2000,none,3,1.0,[[0 0]],5,True,52,uniform,0,28.844410203711913
False,,4.4895163330074865,1,2000,none,3,1.0,[[0 0]],7,True,52,uniform,0,28.844410203711913
False,,4.487959833000787,1,2000,none,3,1.0,[[0 0]],9,True,52,uniform,0,28.844410203711913
False,,4.506103916995926,1,2000,none,3,1.0,[[0 0]],11,True,52,uniform,0,28.844410203711913
False,,4.464226875003078,1,2000,none,3,1.0,[[0 0]],13,True,52,uniform,0,28.844410203711913
False,,4.496751540995319,1,2000,none,3,1.0,[[0 0]],15,True,52,uniform,0,28.844410203711913
False,,4.47930004200316,1,2000,none,3,1.0,[[0 0]],17,True,52,uniform,0,28.844410203711913
False,,4.480727875008597,1,2000,none,3,1.0,[[0 0]],19,True,52,uniform,0,28.844410203711913
False,,4.4891756669967435,1,2000,none,3,1.0,[[0 0]],21,True,52,uniform,0,28.844410203711913
False,,4.484461041996838,1,2000,none,3,1.0,[[0 0]],23,True,52,uniform,0,28.844410203711913
False,,4.456911457993556,1,2000,none,3,1.0,[[0 0]],25,True,52,uniform,0,28.844410203711913
False,,4.489703583007213,1,2000,none,3,1.0,[[0 0]],27,True,52,uniform,0,28.844410203711913
False,,5.084929041011492,1,2000,none,3,1.0,[[0 0]],1,True,57,uniform,0,30.199337741083
False,,5.064560666010948,1,2000,none,3,1.0,[[0 0]],3,True,57,uniform,0,30.199337741083
False,,4.960138916998403,1,2000,none,3,1.0,[[0 0]],5,True,57,uniform,0,30.199337741083
False,,4.9851589589961804,1,2000,none,3,1.0,[[0 0]],7,True,57,uniform,0,30.199337741083
False,,4.9457388750015525,1,2000,none,3,1.0,[[0 0]],9,True,57,uniform,0,30.199337741083
False,,4.925626874988666,1,2000,none,3,1.0,[[0 0]],11,True,57,uniform,0,30.199337741083
False,,4.893937749991892,1,2000,none,3,1.0,[[0 0]],13,True,57,uniform,0,30.199337741083
