Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,3.322551500008558,1,2000,none,3,1.0,[[0 0]],3,False,37,uniform,0,24.331050121192877
False,,3.403960541996639,1,2000,none,3,1.0,[[0 0]],5,False,37,uniform,0,24.331050121192877
False,,3.331699917005608,1,2000,none,3,1.0,[[0 0]],7,False,37,uniform,0,24.331050121192877
False,,3.5056350829981966,1,2000,none,3,1.0,[[0 0]],9,False,37,uniform,0,24.331050121192877
False,,3.476924083995982,1,2000,none,3,1.0,[[0 0]],11,False,37,uniform,0,24.331050121192877
False,,3.439855415999773,1,2000,none,3,1.0,[[0 0]],13,False,37,uniform,0,24.331050121192877
False,,3.332955083998968,1,2000,none,3,1.0,[[0 0]],15,False,37,uniform,0,24.331050121192877
False,,3.3970689580019098,1,2000,none,3,1.0,[[0 0]],17,False,37,uniform,0,24.331050121192877
False,,3.346283416991355,1,2000,none,3,1.0,[[0 0]],19,False,37,uniform,0,24.331050121192877
False,,4.049119832998258,1,2000,none,3,1.0,[[0 0]],1,False,42,uniform,0,25.92296279363144
False,,3.810503708999022,1,2000,none,3,1.0,[[0 0]],3,False,42,uniform,0,25.92296279363144
False,,3.782777915999759,1,2000,none,3,1.0,[[0 0]],5,False,42,uniform,0,25.92296279363144
False,,3.9457011250051437,1,2000,none,3,1.0,[[0 0]],7,False,42,uniform,0,25.92296279363144
False,,3.674839291998069,1,2000,none,3,1.0,[[0 0]],9,False,42,uniform,0,25.92296279363144
False,,3.6722891250101384,1,2000,none,3,1.0,[[0 0]],11,False,42,uniform,0,25.92296279363144
False,,3.799565041990718,1,2000,none,3,1.0,[[0 0]],13,False,42,uniform,0,25.92296279363144
False,,3.7645442500070203,1,2000,none,3,1.0,[[0 0]],15,False,42,uniform,0,25.92296279363144
False,,3.860192417007056,1,2000,none,3,1.0,[[0 0]],17,False,42,uniform,0,25.92296279363144
