Success,Completion Steps,Wall Time (s),max_steps,boundary,clusters,drone_xy,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
True,558.0,5.366173900023568,2000,none,3,[[-20 -35]],False,200,circle,1,56.568542494923804
True,1577.0,15.32983719999902,2000,none,3,[[-20 -35]],False,200,circle,2,56.568542494923804
True,369.0,3.678545899980236,2000,none,3,[[-20 -35]],False,200,circle,3,56.568542494923804
True,324.0,3.350125400000252,2000,none,3,[[-20 -35]],False,200,circle,4,56.568542494923804
True,678.0,6.297593199997209,2000,none,3,[[-20 -35]],False,200,circle,5,56.568542494923804
True,1234.0,12.047684400051367,2000,none,3,[[-20 -35]],False,200,circle,6,56.568542494923804
True,1297.0,12.925412899989169,2000,none,3,[[-20 -35]],False,200,circle,7,56.568542494923804
True,497.0,4.352920899982564,2000,none,3,[[-20 -35]],False,200,circle,8,56.568542494923804
True,474.0,4.629090600006748,2000,none,3,[[-20 -35]],False,200,circle,9,56.568542494923804
True,804.0,9.40512359997956,2000,none,3,[[-20 -35]],False,300,uniform,0,69.2820323027551
True,309.0,3.7676628999761306,2000,none,3,[[-20 -35]],False,300,uniform,1,69.2820323027551
True,370.0,4.442915199964773,2000,none,3,[[-20 -35]],False,300,uniform,2,69.2820323027551
True,1687.0,18.917571300000418,2000,none,3,[[-20 -35]],False,300,uniform,3,69.2820323027551
True,633.0,5.534817999985535,2000,none,3,[[-20 -35]],False,300,uniform,4,69.2820323027551
True,357.0,4.281769099994563,2000,none,3,[[-20 -35]],False,300,uniform,5,69.2820323027551
True,786.0,8.494891699985601,2000,none,3,[[-20 -35]],False,300,uniform,6,69.2820323027551
True,504.0,5.650826899975073,2000,none,3,[[-20 -35]],False,300,uniform,7,69.2820323027551
True,276.0,4.555152499990072,2000,none,3,[[-20 -35]],False,300,uniform,8,69.2820323027551
True,841.0,15.698604100034572,2000,none,3,[[-20 -35]],False,300,uniform,9,69.2820323027551
True,906.0,15.707248199963942,2000,none,3,[[-20 -35]],False,300,circle,0,69.2820323027551
True,1145.0,19.160107899981085,2000,none,3,[[-20 -35]],False,300,circle,1,69.2820323027551
True,1309.0,24.193322699982673,2000,none,3,[[-20 -35]],False,300,circle,2,69.2820323027551
True,920.0,14.417360100022051,2000,none,3,[[-20 -35]],False,300,circle,3,69.2820323027551
True,1354.0,21.133647199952975,2000,none,3,[[-20 -35]],False,300,circle,4,69.2820323027551
True,1440.0,25.34914329997264,2000,none,3,[[-20 -35]],False,300,circle,5,69.2820323027551
True,1353.0,24.673591500031762,2000,none,3,[[-20 -35]],False,300,circle,6,69.2820323027551
True,829.0,10.832654000027105,2000,none,3,[[-20 -35]],False,300,circle,7,69.2820323027551
